Complain,TenureGroup,用户数,流失人数,流失率,平均订单数,样本提示
1,0-6月,659,375,0.5690440060698028,2.6479514415781487,可观察
0,0-6月,1491,322,0.215962441314554,2.4292421193829643,可观察
1,7-12月,406,81,0.19950738916256158,2.667487684729064,可观察
1,13-24月,414,52,0.12560386473429952,3.345410628019324,可观察
0,7-12月,1178,75,0.0636672325976231,2.775042444821732,可观察
0,13-24月,1053,43,0.04083570750237417,3.8461538461538463,可观察
0,24月以上,304,0,0.0,3.7467105263157894,可观察
1,24月以上,125,0,0.0,3.056,可观察
